Blade Angle,n11,Q11,Efficiency
21.18,63.9,0.822902438,0.668682158
21.18,127.7,0.997462128,0.846994281
21.18,191.6,1.147575125,0.267576665
16.18,63.9,0.68520481,0.66161406
16.18,127.7,0.84480902,0.86922735
16.18,191.6,0.999247018,0.539716125
7.38,63.9,0.402991773,0.610894501
7.38,127.7,0.489488206,0.770726323
7.38,191.6,0.595760967,0.575282514
